Time,NEW,SAME,EXCLUDED
15_17 - 15_38,11,265,0
15_38 - 16_22,14,275,1
16_22 - 16_40,6,287,2
16_40 - 17_15,10,291,2
17_15 - 17_37,5,301,0
17_37 - 18_19,11,306,0
18_19 - 18_37,10,317,0
18_37 - 19_13,12,326,1
19_13 - 19_37,4,336,2
19_37 - 20_17,16,339,1
20_17 - 20_38,4,355,0
20_38 - 21_14,9,357,2
21_14 - 22_16,14,366,0
22_16 - 22_37,4,380,0
22_37 - 23_18,5,384,0
23_18 - 23_37,2,389,0
23_37 - 01_24,9,308,83
01_24 - 02_22,5,317,0
02_22 - 02_46,2,321,1
02_46 - 03_18,2,323,0
03_18 - 03_37,1,325,0
03_37 - 04_20,0,326,0
04_20 - 04_37,1,325,1
04_37 - 05_15,0,326,0
05_15 - 05_37,1,326,0
05_37 - 06_22,2,327,0
06_22 - 06_38,2,329,0
06_38 - 07_15,3,331,0
07_15 - 07_37,0,334,0
07_37 - 08_20,3,334,0
08_20 - 08_37,0,337,0
08_37 - 09_16,3,337,0
09_16 - 09_37,2,339,1
09_37 - 10_18,10,340,1
10_18 - 10_37,7,350,0
10_37 - 11_14,22,357,0
11_14 - 12_43,47,378,1
12_43 - 13_38,35,421,4
13_38 - 14_16,24,453,3
14_16 - 14_37,15,474,3
14_37 - 15_18,18,489,0
15_18 - 15_37,8,505,2
15_37 - 16_22,11,511,2
16_22 - 16_40,7,521,1
16_40 - 17_15,10,528,0
17_15 - 17_37,9,538,0
17_37 - 18_21,16,545,2
18_21 - 18_37,9,559,2
18_37 - 19_13,12,564,4
19_13 - 19_37,10,572,4
19_37 - 20_17,18,580,2
20_17 - 20_37,8,598,0
20_37 - 21_14,12,606,0
21_14 - 21_37,6,618,0
21_37 - 22_16,10,623,1
22_16 - 22_38,1,633,0
22_38 - 23_16,5,632,2
23_16 - 23_37,2,636,1
23_37 - 01_21,9,329,309
01_21 - 02_20,1,338,0
02_20 - 02_44,2,339,0
02_44 - 03_17,4,341,0
03_17 - 03_38,0,345,0
03_38 - 04_20,2,345,0
04_20 - 04_37,0,347,0
04_37 - 05_15,1,347,0
05_15 - 05_37,2,347,1
05_37 - 06_21,4,349,0
06_21 - 06_38,1,353,0
06_38 - 07_15,2,354,0
07_15 - 07_37,2,356,0
07_37 - 08_20,1,358,0
08_20 - 08_38,1,359,0
08_38 - 09_16,3,360,0
09_16 - 09_37,2,363,0
09_37 - 10_18,12,365,0
10_18 - 10_37,6,377,0
10_37 - 11_13,25,383,0
11_13 - 11_37,16,408,0
11_37 - 12_33,35,424,0
12_33 - 13_39,45,454,5
13_39 - 14_18,21,497,2
14_18 - 14_45,6,518,0
14_45 - 15_23,17,521,3
15_23 - 16_30,32,536,2
16_30 - 16_42,3,568,0
16_42 - 17_15,9,570,1
17_15 - 18_41,33,576,3
18_41 - 19_40,19,608,1
19_40 - 20_23,11,624,3
20_23 - 20_38,6,635,0
20_38 - 21_40,20,637,4
21_40 - 22_18,6,655,2
22_18 - 22_39,2,661,0
22_39 - 23_17,5,663,0
23_17 - 23_38,0,668,0
23_38 - 01_23,13,338,330
01_23 - 02_20,9,350,1
02_20 - 02_44,2,359,0
02_44 - 03_17,0,361,0
03_17 - 03_37,1,361,0
03_37 - 04_19,3,362,0
04_19 - 04_37,0,365,0
04_37 - 05_15,1,365,0
05_15 - 05_37,1,365,1
05_37 - 06_21,5,366,0
06_21 - 06_37,1,371,0
06_37 - 07_15,3,372,0
07_15 - 07_37,0,375,0
07_37 - 08_20,4,375,0
08_20 - 08_38,2,379,0
08_38 - 09_16,4,381,0
09_16 - 09_37,4,385,0
09_37 - 10_18,19,388,1
10_18 - 10_37,9,406,1
10_37 - 11_13,15,415,0
11_13 - 11_37,19,429,1
11_37 - 12_33,35,444,4
12_33 - 13_20,28,477,2
13_20 - 14_15,24,503,2
14_15 - 14_37,10,527,0
14_37 - 15_17,15,537,0
15_17 - 15_37,7,552,0
15_37 - 16_22,17,554,5
16_22 - 16_40,4,571,0
16_40 - 17_14,14,573,2
17_14 - 17_37,8,587,0
17_37 - 18_20,11,593,2
18_20 - 18_37,3,603,1
18_37 - 19_13,6,605,1
19_13 - 19_37,12,610,1
19_37 - 20_17,15,621,1
20_17 - 20_37,6,635,1
20_37 - 21_14,12,640,1
21_14 - 21_37,3,651,1
21_37 - 22_15,8,654,0
22_15 - 22_37,2,662,0
22_37 - 23_17,5,663,1
23_17 - 23_37,1,667,1
23_37 - 01_22,8,328,340
01_22 - 02_18,3,336,0
02_18 - 02_43,1,339,0
02_43 - 03_17,2,340,0
03_17 - 03_37,0,342,0
03_37 - 04_38,2,342,0
04_38 - 05_15,2,343,1
05_15 - 05_37,0,345,0
05_37 - 06_21,5,344,1
06_21 - 06_37,2,349,0
06_37 - 07_14,3,351,0
07_14 - 07_37,1,354,0
07_37 - 08_20,4,355,0
08_20 - 08_38,2,359,0
08_38 - 09_16,2,361,0
09_16 - 09_37,1,363,0
09_37 - 10_17,9,364,0
10_17 - 10_37,7,373,0
10_37 - 11_13,14,380,0
11_13 - 11_37,14,394,0
11_37 - 12_31,22,405,3
12_31 - 13_19,32,424,3
13_19 - 13_37,13,451,5
13_37 - 14_14,18,460,4
14_14 - 14_38,14,477,1
14_38 - 15_16,13,488,3
15_16 - 15_38,7,501,0
15_38 - 16_21,19,505,3
16_21 - 16_39,11,523,1
16_39 - 17_14,13,533,1
17_14 - 17_37,5,546,0
17_37 - 18_20,9,549,2
18_20 - 18_37,3,558,0
18_37 - 19_12,9,559,2
19_12 - 19_37,6,567,1
19_37 - 20_16,8,570,3
20_16 - 20_37,7,577,1
20_37 - 21_13,8,583,1
21_13 - 21_38,7,590,1
21_38 - 22_15,10,595,2
22_15 - 22_37,3,604,1
22_37 - 23_16,6,605,2
23_16 - 23_37,3,611,0
23_37 - 01_21,4,285,329
01_21 - 02_18,1,289,0
02_18 - 02_42,4,289,1
02_42 - 03_17,0,293,0
03_17 - 03_37,0,293,0
03_37 - 04_19,0,293,0
04_19 - 04_37,0,293,0
04_37 - 05_15,1,293,0
05_15 - 05_38,1,294,0
05_38 - 06_20,1,295,0
06_20 - 06_38,0,296,0
06_38 - 07_14,2,296,0
07_14 - 07_37,0,298,0
07_37 - 08_19,0,298,0
08_19 - 08_37,1,298,0
08_37 - 09_14,0,299,0
09_14 - 09_37,0,299,0
09_37 - 10_16,1,299,0
10_16 - 10_37,2,300,0
10_37 - 11_13,3,302,0
11_13 - 11_37,0,305,0
11_37 - 12_30,8,305,0
12_30 - 12_51,3,313,0
12_51 - 13_17,5,316,0
13_17 - 13_37,5,321,0
13_37 - 14_13,3,324,2
14_13 - 14_37,6,327,0
14_37 - 15_15,4,333,0
15_15 - 15_38,7,337,0
15_38 - 16_20,0,344,0
16_20 - 16_38,4,344,0
16_38 - 17_16,5,347,1
17_16 - 17_37,0,352,0
17_37 - 18_19,6,349,3
18_19 - 18_38,0,355,0
18_38 - 19_12,2,355,0
19_12 - 19_37,3,357,0
19_37 - 20_17,2,360,0
20_17 - 20_37,2,362,0
20_37 - 21_13,3,364,0
21_13 - 21_37,1,367,0
21_37 - 22_15,3,368,0
22_15 - 22_37,0,371,0
22_37 - 23_15,1,371,0
23_15 - 23_38,2,372,0
23_38 - 01_33,4,89,285
01_33 - 02_34,3,93,0
02_34 - 03_16,1,96,0
03_16 - 03_37,0,97,0
03_37 - 04_19,0,97,0
04_19 - 04_37,0,97,0
04_37 - 05_15,0,97,0
05_15 - 05_37,0,97,0
05_37 - 06_20,0,97,0
06_20 - 06_38,0,97,0
06_38 - 07_15,3,96,1
07_15 - 07_37,0,99,0
07_37 - 08_19,0,99,0
08_19 - 08_37,0,99,0
08_37 - 09_14,1,99,0
09_14 - 09_37,1,100,0
09_37 - 10_16,3,101,0
10_16 - 10_37,2,104,0
